번호,구분,화장실명,소재지도로명주소,소재지지번주소,남녀공용화장실여부,남성용-대변기수,남성용-소변기수,남성용-장애인용대변기수,남성용-장애인용소변기수,남성용-어린이용대변기수,남성용-어린이용소변기수,여성용-대변기수,여성용-장애인용대변기수,여성용-어린이용대변기수,관리기관명,전화번호,개방시간,설치연월,WGS84위도,WGS84경도,화장실소유구분,화장실설치장소유형,오물처리방식,비상벨설치여부,비상벨설치장소,화장실입구CCTV설치유무,기저귀교환대유무,기저귀교환대장소,리모델링연월,데이터기준일자
11,공중화장실,복합공원 공중화장실,부산 영도구 동삼동 516-1,부산 영도구 동삼동 516-1,N,2,3,1,0,0,0,5,1,0,영도구 행정지원과,051-419-4155,24시간,2006-01,35.0752671,129.0668586,지방자치단체,관광·체육시설,수세식,N,없음,N,N,없음,,2021-12-31
12,공중화장실,절영해안산책로 5호 공중화장실,부산 영도구 동삼동 628-22,부산 영도구 동삼동 628-22,N,1,1,0,0,0,0,1,0,0,영도구 청소행정과,051-419-4445,24시간,2018-01,,,지방자치단체,관광·체육시설,수거식,N,없음,N,N,없음,,2021-12-31
13,공중화장실,75광장 공중화장실,부산 영도구 동삼동 628-55,부산 영도구 동삼동 628-55,N,3,3,1,0,0,0,4,1,0,영도구 청소행정과,051-419-4445,24시간,2008-01,35.069981,129.062209,지방자치단체,관광·체육시설,수세식,Y,여자화장실+장애인화장실+남자화장실,N,Y,여자화장실,,2021-12-31
14,공중화장실,사격장앞 공중화장실,부산 영도구 동삼동 628-61,부산 영도구 동삼동 628-61,N,1,2,1,0,0,0,3,1,0,영도구 청소행정과,051-419-4445,24시간,2010-01,35.074424,129.069341,지방자치단체,관광·체육시설,수세식,Y,남자화장실+여자화장실+장애인화장실,N,Y,여자화장실,,2021-12-31
15,공중화장실,중리지구 공중화장실,부산 영도구 동삼동 639-17,부산 영도구 동삼동 639-17,N,1,2,1,0,0,0,3,1,0,영도구 청소행정과,051-419-4571,24시간,,,,지방자치단체,관광·체육시설,수세식,N,없음,N,N,없음,,2021-12-31
16,공중화장실,함지골 약수터 공중화장실,부산 영도구 동삼동 산 149-5,부산 영도구 동삼동 산 149-5,N,1,1,0,0,0,0,1,0,0,영도구 청소행정과,051-419-4445,24시간,2009-01,35.07348728,129.0540805,지방자치단체,관광·체육시설,수거식,N,없음,N,N,없음,,2021-12-31
17,공중화장실,감지해변 공중화장실,부산 영도구 동삼동 산 19-1,부산 영도구 동삼동 산 19-1,N,3,4,1,1,0,0,8,1,1,영도구 청소행정과,051-419-4445,24시간,2018-01,35.060493,129.0782335,지방자치단체,관광·체육시설,수세식,Y,장애인화장실+남자화장실+여자화장실,N,Y,남자화장실+여자화장실,,2021-12-31
18,공중화장실,감지해변산책로 1호 공중화장실,부산 영도구 동삼동 산 32,부산 영도구 동삼동 산 32,N,1,1,0,0,0,0,2,0,0,영도구 청소행정과,051-419-4445,24시간,2013-01,35.06248841,129.0765671,지방자치단체,관광·체육시설,수거식,N,없음,N,N,없음,,2021-12-31
19,공중화장실,감지해변산책로 2호 공중화장실,부산 영도구 동삼동 산 54,부산 영도구 동삼동 산 54,N,1,1,0,0,0,0,2,0,0,영도구 청소행정과,051-419-4445,24시간,2010-01,35.068335,129.071145,지방자치단체,관광·체육시설,수거식,N,없음,N,N,없음,,2021-12-31
20,공중화장실,절영해안산책로 8호 공중화장실,부산 영도구 동삼동 산 69-1,부산 영도구 동삼동 산 69-1,N,1,2,0,0,0,0,2,0,0,영도구 청소행정과,051-419-4445,24시간,2011-01,35.071895,129.0453107,지방자치단체,관광·체육시설,수거식,N,없음,N,N,없음,,2021-12-31
21,공중화장실,절영해안산책로 6호 공중화장실,부산 영도구 동삼동 산 71-4,부산 영도구 동삼동 산 71-4,N,1,1,0,0,0,0,1,0,0,영도구 청소행정과,051-419-4445,24시간,2005-01,35.070009,129.060594,지방자치단체,관광·체육시설,수거식,N,없음,N,N,없음,,2021-12-31
22,공중화장실,절영해안산책로 7호 공중화장실,부산 영도구 동삼동 산 71-4,부산 영도구 동삼동 산 71-4,N,1,1,0,0,0,0,2,0,0,영도구 청소행정과,051-419-4445,24시간,2009-01,35.070009,129.060594,지방자치단체,관광·체육시설,수거식,N,없음,N,N,없음,,2021-12-31
23,공중화장실,봉래동 친수공간 공중화장실,부산 영도구 봉래동1가 1-2,부산 영도구 봉래동1가 1-2,N,2,2,0,0,0,0,2,0,0,영도구 청소행정과,051-419-4445,24시간,2007-01,35.094602,129.038752,지방자치단체,기타,수세식,Y,남자화장실+여자화장실,N,N,없음,,2021-12-31
24,공중화장실,봉산약수터 공중화장실,부산 영도구 봉래동5가 산5,부산 영도구 봉래동5가 산5,N,1,1,0,0,0,0,2,0,0,영도구 청소행정과,051-419-4445,24시간,2013-01,35.060493,129.078078,지방자치단체,관광·체육시설,수거식,N,없음,N,N,없음,,2021-12-31
25,공중화장실,산정체육공원 공중화장실,부산 영도구 신선동2가 182-1,부산 영도구 신선동2가 182-1,N,1,2,0,0,0,0,2,0,0,영도구 청소행정과,051-419-4445,24시간,2011-01,35.086485,129.049369,지방자치단체,관광·체육시설,수거식,N,없음,N,N,없음,,2021-12-31
26,공중화장실,남항시장 2호 공중화장실,부산 영도구 영선동2가 6-1,부산 영도구 영선동2가 6-1,N,1,3,1,0,0,0,5,1,0,영도구 일자리경과,051-419-4472,24시간,2010-01,35.089457,129.041847,지방자치단체,기타,수세식,N,없음,N,Y,여자화장실,,2021-12-31
27,공중화장실,남항시장 1호 공중화장실,부산 영도구 영선동2가 64-6,부산 영도구 영선동2가 64-6,N,1,3,1,0,0,0,4,1,0,영도구 일자리경제과,051-419-4472,24시간,2008-01,35.088914,129.042283,지방자치단체,기타,수세식,N,없음,N,N,없음,,2021-12-31
28,공중화장실,흰여울마을 공중화장실,부산 영도구 영선동4가 1150,부산 영도구 영선동4가 1150,N,1,1,0,0,0,0,1,0,0,영도구 청소행정과,051-419-4445,24시간,2017-01,35.076762,129.046777,지방자치단체,관광·체육시설,수세식,Y,남자화장실+여자화장실,N,N,없음,,2021-12-31
29,공중화장실,소공원 공중화장실,부산 영도구 영선동4가 1198,부산 영도구 영선동4가 1198,N,2,2,0,0,0,0,2,0,0,영도구 청소행정과,051-419-4445,24시간,1999-01,35.076299,129.0298705,지방자치단체,관광·체육시설,수세식,Y,남자화장실+여자화장실,N,N,없음,,2021-12-31
30,공중화장실,파고라 공중화장실,부산 영도구 영선동4가 1267,부산 영도구 영선동4가 1267,N,2,2,0,0,0,0,2,0,0,영도구 청소행정과,051-419-4445,24시간,1999-01,35.075589,129.048191,지방자치단체,관광·체육시설,수세식,Y,남자화장실+여자화장실,N,N,없음,,2021-12-31
31,공중화장실,절영산책로 관리동 공중화장실,부산 영도구 영선동4가 186-101,부산 영도구 영선동4가 186-101,N,2,3,1,0,0,0,4,1,1,영도구 해양수산과,051-419-4572,24시간,2001-01,35.081131,129.041239,지방자치단체,관광·체육시설,수세식,N,없음,N,Y,남자화장실+여자화장실,,2021-12-31
32,공중화장실,절영해안산책로 2호 공중화장실,부산 영도구 영선동4가 650-2,부산 영도구 영선동4가 650-2,N,1,2,0,0,0,0,2,0,0,영도구 청소행정과,051-419-4445,24시간,2017-01,35.078682,129.044505,지방자치단체,관광·체육시설,수세식,N,없음,N,N,없음,,2021-12-31
33,공중화장실,청학수변공원 공중화장실,부산 영도구 청학동 217-33,부산 영도구 청학동 217-33,N,1,3,0,0,0,0,2,0,0,영도구 청소행정과,051-419-4445,24시간,2010-01,35.098231,129.063366,지방자치단체,기타,수세식,Y,남자화장실+여자화장실,N,N,없음,,2021-12-31
34,공중화장실,해돋이마을 공중화장실,부산 영도구 청학동 468-509,부산 영도구 청학동 468-509,N,2,1,0,0,0,0,3,0,0,영도구 청소행정과,051-419-4445,24시간,2017-01,35.09022074,129.0568158,지방자치단체,기타,수세식,Y,남자화장실+여자화장실,N,N,없음,,2021-12-31
35,공중화장실,청학배수지 공중화장실,부산 영도구 청학동 475-4,부산 영도구 청학동 475-4,N,1,1,0,0,0,0,2,0,0,영도구 청소행정과,051-419-4445,24시간,2015-01,35.08834929,129.060072,지방자치단체,기타,수세식,Y,남자화장실+여자화장실,N,N,없음,,2021-12-31
36,공중화장실,자연생태학습장 공중화장실,부산 영도구 청학동 산 54-11,부산 영도구 청학동 산 54-11,N,1,2,0,0,0,0,2,0,0,영도구 청소행정과,051-419-4445,24시간,2011-01,35.084582,129.057634,지방자치단체,관광·체육시설,수거식,Y,남자화장실+여자화장실,N,N,없음,,2021-12-31
37,공중화장실,봉래산 체육공원 공중화장실,부산 영도구 청학동 산 54-4,부산 영도구 청학동 산 54-4,N,1,1,0,0,0,0,2,0,0,영도구 청소행정과,051-419-4445,24시간,2017-01,35.086513,129.053743,지방자치단체,관광·체육시설,수세식,N,없음,N,N,없음,,2021-12-31
38,개방화장실,영선1동 주민센터,"부산 영도구 꿈나무길 25 (영선동1가, 영선1동주민센터)",,Y,0,3,0,0,0,0,4,0,0,영도구 영선1동,032-1234-4441,09:00~18:00,2020-01,35.18848,128.9904,지방자치단체,공공용시설,수세식,N,없음,N,N,없음,,2021-12-31
39,개방화장실,한국전력공사 영도지사,"부산 영도구 남항남로9번길 61 (남항동2가, 한국전력공사(영도지사))",,N,2,3,0,0,0,0,2,0,0,한국전력공사 영도지사,,09:00~18:00,,,,지방자치단체,공공용시설,수세식,N,없음,N,N,없음,,2021-12-31
40,개방화장실,남항동 주민센터,"부산 영도구 남항로9번길 1 (남항동1가, 남항동주민센터)",,N,2,2,0,0,0,0,2,0,0,영도구 남항동,,09:00~18:00,,,,지방자치단체,공공용시설,수세식,N,없음,N,N,없음,,2021-12-31
41,개방화장실,영선2치안센터,"부산 영도구 남항새싹3길 2 (영선동4가, 영선2치안센터)",,Y,0,1,0,0,0,0,1,0,0,영선2치안센터,,00:00~00:00,,,,지방자치단체,공공용시설,수세식,N,없음,N,N,없음,,2021-12-31
42,개방화장실,봉래1동 주민센터,"부산 영도구 대교로6번길 5 (봉래동3가, 봉래1동주민센터)",,N,2,2,0,0,0,0,4,0,0,영도구 봉래1동,,09:00~18:00,,,,지방자치단체,공공용시설,수세식,N,없음,N,N,없음,,2021-12-31
43,개방화장실,부산동삼동우체국,"부산 영도구 동삼로 37-1 (동삼동, 부산동삼동우체국)",,Y,0,1,0,0,0,0,1,0,0,부산동삼동우체국,,09:00~18:00,,,,지방자치단체,공공용시설,수세식,N,없음,N,N,없음,,2021-12-31
44,개방화장실,동삼2동 주민센터,"부산 영도구 본산남길 5 (동삼동, 동삼2동주민센터)",,Y,0,1,0,0,0,0,1,0,0,영도구 동삼2동,,09:00~18:00,,,,지방자치단체,공공용시설,수세식,N,없음,N,N,없음,,2021-12-31
45,개방화장실,부산동삼3동우체국,"부산 영도구 상리로 37 (동삼동, 부산동삼3동우체국)",,N,1,1,0,0,0,0,1,0,0,부산동삼3동우체국,,09:00~18:00,,,,지방자치단체,공공용시설,수세식,N,없음,N,N,없음,,2021-12-31
46,개방화장실,동삼3동 주민센터,"부산 영도구 상리로 39 (동삼동, 동삼3동주민센터)",,N,3,4,0,0,0,0,3,0,0,영도구 동삼3동,,09:00~18:00,,,,지방자치단체,공공용시설,수세식,N,없음,N,N,없음,,2021-12-31
47,개방화장실,동삼3치안센터,"부산 영도구 상리로 41 (동삼동, 동삼3동치안센터)",,Y,0,1,0,0,0,0,1,0,0,동삼3치안센터,,00:00~00:00,,,,지방자치단체,공공용시설,수세식,N,없음,N,N,없음,,2021-12-31
48,개방화장실,영선2동 주민센터,"부산 영도구 영선대로 65 (영선동3가, 영선2동주민센터)",,N,3,3,0,0,0,0,5,0,0,영도구 영선2동,,09:00~18:00,,,,지방자치단체,공공용시설,수세식,N,없음,N,N,없음,,2021-12-31
49,개방화장실,영도 어린이영어 도서관,"부산 영도구 절영로 71 (남항동2가, 영도어린이영어도서관)",,N,3,5,0,0,0,0,14,0,0,영도도서관,,09:00~18:00,,,,지방자치단체,공공용시설,수세식,N,없음,N,N,없음,,2021-12-31
50,개방화장실,부산영선동우체국,"부산 영도구 절영로 96-1 (영선동3가, 부산영선동우체국)",,N,1,1,0,0,0,0,1,0,0,부산영선동우체국,,09:00~18:00,,,,지방자치단체,공공용시설,수세식,N,없음,N,N,없음,,2021-12-31
51,개방화장실,동삼1동 주민센터,"부산 영도구 중리로 44-1 (동삼동, 동삼1동주민센터)",,N,5,4,0,0,0,0,4,0,0,영도구 동삼1동,,09:00~18:00,,,,지방자치단체,공공용시설,수세식,N,없음,N,N,없음,,2021-12-31
52,개방화장실,부산청학동우체국,"부산 영도구 청학로 87 (청학동, 부산청학동우체국)",,N,1,1,0,0,0,0,1,0,0,부산청학동우체국,,09:00~18:00,,,,지방자치단체,공공용시설,수세식,N,없음,N,N,없음,,2021-12-31
53,개방화장실,청학1동 주민센터,"부산 영도구 청학서로 78 (청학동, 청학1동주민센터)",,N,2,1,0,0,0,0,3,0,0,영도구 청학1동,,09:00~18:00,,,,지방자치단체,공공용시설,수세식,N,없음,N,N,없음,,2021-12-31
54,개방화장실,영선119안전센터,"부산 영도구 태종로 115 (영선동1가, 영선119안전센터)",,Y,0,2,0,0,0,0,2,0,0,영선119안전센터,,00:00~00:00,,,,지방자치단체,공공용시설,수세식,N,없음,N,N,없음,,2021-12-31
55,개방화장실,청학119안전센터,"부산 영도구 태종로 274 (청학동, 청학119안전센터)",,N,1,2,0,0,0,0,1,0,0,청학119안전센터,,00:00~00:00,,,,지방자치단체,공공용시설,수세식,N,없음,N,N,없음,,2021-12-31
56,개방화장실,청학2동 주민센터,"부산 영도구 태종로 394 (청학동, 청학2동주민센터)",,N,1,1,0,0,0,0,1,0,0,영도구 청학2동,,09:00~18:00,,,,지방자치단체,공공용시설,수세식,N,없음,N,N,없음,,2021-12-31
57,개방화장실,청학파출소,"부산 영도구 태종로 395 (청학동, 청학파출소)",,N,2,2,0,0,0,0,2,0,0,청학파출소,,00:00~00:00,,,,지방자치단체,공공용시설,수세식,N,없음,N,N,없음,,2021-12-31
58,개방화장실,영도경찰서,"부산 영도구 태종로 46 (대교동1가, 부산영도경찰서)",,N,4,7,0,0,0,0,3,0,0,영도경찰서,,00:00~00:00,,,,지방자치단체,공공용시설,수세식,N,없음,N,N,없음,,2021-12-31
59,개방화장실,동삼지구대,"부산 영도구 태종로 618 (동삼동, 동삼지구대)",,N,1,1,0,0,0,0,1,0,0,동삼지구대,,00:00~00:00,,,,지방자치단체,공공용시설,수세식,N,없음,N,N,없음,,2021-12-31
60,개방화장실,동삼동패총전시관,"부산 영도구 태종로 729 (동삼동, 동삼동패총전시관)",,N,1,2,0,0,0,0,2,0,0,동삼동패총전시관,,09:00~18:00,,,,지방자치단체,공공용시설,수세식,N,없음,N,N,없음,,2021-12-31
61,개방화장실,부산영도우체국,"부산 영도구 태종로 89 (대교동2가, 부산영도우체국)",,N,2,3,0,0,0,0,2,0,0,부산영도우체국,,09:00~18:00,,,,지방자치단체,공공용시설,수세식,N,없음,N,N,없음,,2021-12-31
62,개방화장실,봉래2동 주민센터,"부산 영도구 태종로165번길 1-8 (봉래동4가, 봉래2동주민센터)",,Y,0,1,0,0,0,0,3,0,0,영도구 봉래2동,,09:00~18:00,,,,지방자치단체,공공용시설,수세식,N,없음,N,N,없음,,2021-12-31
63,개방화장실,신선동 주민센터,"부산 영도구 하나길 317 (신선동3가, 신선동주민센터)",,Y,0,2,0,0,0,0,2,0,0,영도구 신선동,,09:00~18:00,,,,지방자치단체,공공용시설,수세식,N,없음,N,N,없음,,2021-12-31
64,개방화장실,청학1치안센터,"부산 영도구 하나길 813 (청학동, 청학1치안센터)",,Y,0,1,0,0,0,0,1,0,0,청학1치안센터,,00:00~00:00,,,,지방자치단체,공공용시설,수세식,N,없음,N,N,없음,,2021-12-31
65,개방화장실,절영종합사회복지관,"부산 영도구 함지로 33-10 (동삼동, 절영종합사회복지관)",,N,1,1,0,0,0,0,2,0,0,절영종합사회복지관,,09:00~18:00,,,,지방자치단체,공공용시설,수세식,N,없음,N,N,없음,,2021-12-31
66,개방화장실,동구보훈회관,"부산광역시 동구 구청로 14, 동구보훈회관 2층 (수정동)",부산광역시 동구 수정동 819-54 동구보훈회관,N,1,1,1,1,0,0,0,1,0,동구청 복지지원과,051-440-4312,09:00~18:00,1905-07,,,지방자치단체,공공용시설,수세식,Y,장애인화장실+남자화장실+여자화장실,N,Y,남자화장실+여자화장실,,2019-12-30
67,개방화장실,동구 국민체육문예센터,"부산광역시 동구 구청로 8, 동구 국민체육문예센터 1층 (수정동)",부산광역시 동구 수정동 822 동구 국민체육문예센터,N,1,2,1,1,0,0,4,1,0,동구청 문화체육관광과,051-604-6000,09:00~18:00,1905-07,,,지방자치단체,관광·체육시설,수세식,N,없음,N,Y,남자화장실+여자화장실,,2019-12-30
68,개방화장실,수정4동 주민센터,"부산광역시 동구 망양로685번길 2, 수정4동 주민자치센터 2층 (수정동)",부산광역시 동구 수정동 1172-2 수정4동 주민자치센터,N,1,3,0,0,0,0,2,0,0,수정4동 주민센터,051-440-6225,09:00~18:00,1905-06,,,지방자치단체,공공용시설,수세식,N,없음,N,N,없음,1905-06,2019-12-30
69,개방화장실,수정5동 주민센터,"부산광역시 동구 망양로795번길 2, 수정5동 주민자치센터 1층 (수정동)",부산광역시 동구 수정동 522-3 수정5동 주민자치센터,N,2,1,0,0,0,0,1,0,0,수정5동 주민센터,051-440-6241,09:00~18:00,1905-06,,,지방자치단체,공공용시설,수세식,N,없음,N,N,없음,1905-07,2019-12-30
70,개방화장실,범일1동 주민센터,"부산광역시 동구 범상로 12, 범일1동 주민자치센터 1층 (범일동)",부산광역시 동구 범일동 1438-83 범일1동 주민자치센터,N,1,4,1,0,0,0,3,1,0,범일1동 주민센터,051-440-6341,09:00~18:00,1905-07,,,지방자치단체,공공용시설,수세식,N,없음,Y,N,없음,,2019-12-30
71,개방화장실,범일2동 주민센터(임시청사),"부산광역시 동구 자성로103번길 16, 범일2동 주민자치센터 1층 (범일동)",부산광역시 동구 범일동 586-45 범일2동 주민자치센터,N,0,0,1,0,0,0,0,1,0,범일2동 주민센터,051-440-6322,09:00~18:00,1905-06,,,지방자치단체,공공용시설,수세식,N,없음,N,N,없음,,2019-12-30
72,개방화장실,도시철도 범일역,"부산광역시 동구 범일로 지하 108, 도시철도 범일역 5번출구부근 (범일동)",부산광역시 동구 범일동 949,N,3,4,1,0,0,0,5,1,0,도시철도 범일역,051-678-6117,00:00~00:00,1905-05,,,지방자치단체,교통시설,수세식,Y,장애인화장실+여자화장실,Y,Y,여자화장실,1905-06,2019-12-30
73,개방화장실,범일5동 주민센터,"부산광역시 동구 성남로47번길 13, 범일5동 주민자치센터 1층 (좌천동)",부산광역시 동구 좌천동 68-54 범일5동 주민자치센터,N,1,2,1,0,0,0,2,0,0,범일5동 주민센터,051-440-6361,09:00~18:00,1905-06,,,지방자치단체,공공용시설,수세식,N,없음,N,N,없음,,2019-12-30
74,개방화장실,동구도서관,"부산광역시 동구 성북로36번길 54, 동구도서관 1,2,3층 (범일동)",부산광역시 동구 범일동 산 81-28 동구도서관,N,6,11,1,1,0,0,7,1,0,동구도서관,051-440-6415,09:00~18:00,1905-06,,,지방자치단체,공공용시설,수세식,N,없음,Y,Y,남자화장실+여자화장실,,2019-12-30
75,개방화장실,어린이재단부산종합사회복지관,"부산광역시 동구 수정공원로 15, 부산종합사회복지관(1층식당옆, 2층센터내부, 3층 사무실옆, 4층프로그램실옆) 1,2,3,4층 (수정동)",부산광역시 동구 수정동 1169-3 부산종합사회복지관,N,5,2,1,4,1,2,5,1,1,어린이재단부산종합사회복지관,051-465-0990,09:00~18:00,1905-06,,,지방자치단체,공공용시설,수세식,Y,장애인화장실,Y,Y,여자화장실,1905-06,2019-12-30
76,개방화장실,수정동우체국,"부산광역시 동구 수정로 9, 부산 수정동 우체국 1층 (수정동)",부산광역시 동구 수정동 112-1 부산 수정동 우체국,N,0,1,1,0,0,0,1,1,0,수정동우체국,051-468-2005,09:00~18:00,1905-07,,,지방자치단체,공공용시설,수세식,N,없음,Y,N,없음,,2019-12-30
77,개방화장실,수정2동 주민센터,"부산광역시 동구 수정중로11번길 23, 수정2동주민센터 2층 (수정동)",부산광역시 동구 수정동 795-35 수정2동주민센터,N,2,2,0,0,0,0,2,0,0,수정2동 주민센터,051-440-6202,09:00~18:00,1905-06,,,지방자치단체,공공용시설,수세식,N,없음,N,N,없음,,2019-12-30
78,개방화장실,동구종합사회복지관,"부산광역시 동구 안창로 57, 동구종합사회복지관 2,3,4층 (범일동)",부산광역시 동구 범일동 1542-1 동구종합사회복지관,N,6,9,0,0,0,0,8,1,1,동구종합사회복지관,051-633-3367,09:00~18:00,1905-06,,,지방자치단체,공공용시설,수세식,N,없음,N,Y,여자화장실,,2019-12-30
79,개방화장실,자성대지구대,"부산광역시 동구 자성공원로 15, 자성지구대 1층 (범일동)",부산광역시 동구 범일동 581 자성지구대,N,1,3,0,0,0,0,1,0,0,자성대파출소,051-646-1447,09:00~18:00,1905-06,,,지방자치단체,공공용시설,수세식,N,없음,N,N,없음,,2019-12-30
80,개방화장실,동부산우체국,"부산광역시 동구 조방로 15, 동부산우체국 1층 (범일동)",부산광역시 동구 범일동 830-63 동부산우체국,N,1,2,1,1,0,0,2,1,0,동부산우체국,051-630-1412,09:00~18:00,1905-06,,,지방자치단체,공공용시설,수세식,N,없음,Y,N,없음,,2019-12-30
81,개방화장실,좌천동 주민센터,"부산광역시 동구 좌천남로 19, 좌천동 주민센터 1층 (좌천동)",부산광역시 동구 좌천동 684-5 좌천동 주민센터,N,1,1,1,0,0,0,2,0,0,좌천동 주민센터,051-440-6261,09:00~18:00,1905-06,,,지방자치단체,공공용시설,수세식,N,없음,N,N,없음,1905-07,2019-12-30
82,개방화장실,동부경찰서,"부산광역시 동구 중앙대로 387, 동부경찰서 1층 (수정동)",부산광역시 동구 수정동 1-4 동부경찰서,N,2,2,0,1,0,0,1,0,0,동부경찰서,051-409-0322,09:00~18:00,1905-06,,,지방자치단체,공공용시설,수세식,N,없음,N,N,없음,,2019-12-30
83,개방화장실,좌천동우체국,"부산광역시 동구 중앙대로 471, 부산좌천동우체국 1층 (좌천동)",부산광역시 동구 좌천동 411-1 부산좌천동우체국,N,1,1,0,0,0,0,0,1,0,좌천동우체국,051-632-2005,09:00~18:00,1905-05,,,지방자치단체,공공용시설,수세식,N,없음,N,N,없음,1905-05,2019-12-30
84,개방화장실,부산역지하상가,"부산광역시 동구 중앙대로 지하 200, 부산역지하상가 (초량동)",부산광역시 동구 초량동 1206-1,N,3,4,0,0,0,0,5,0,0,부산역지하상가,051-713-8271,09:00~22:00,1905-06,,,지방자치단체,상업시설,수세식,N,없음,Y,Y,여자화장실,1905-07,2019-12-30
85,개방화장실,도시철도 부산역,"부산광역시 동구 중앙대로 지하 200, 도시철도 부산역 3번출구부근 (초량동)",부산광역시 동구 초량동 1206-1,N,4,4,2,1,1,0,8,2,1,도시철도 부산역,051-678-6113,:~:,1905-06,,,지방자치단체,교통시설,수세식,Y,장애인화장실+여자화장실,Y,Y,남자화장실+여자화장실,1905-07,2019-12-30
86,개방화장실,도시철도 초량역,"부산광역시 동구 중앙대로 지하 264, 도시철도 초량역 (초량동)",부산광역시 동구 초량동 1170 초량역,N,3,4,1,0,0,0,5,1,0,도시철도 초량역,051-678-6114,:~:,1905-06,,,지방자치단체,교통시설,수세식,Y,장애인화장실+여자화장실,Y,Y,여자화장실,1905-06,2019-12-30
87,개방화장실,도시철도 부산진역,"부산광역시 동구 중앙대로 지하 350, 부산진역 3번출구 부근 (초량동)",부산광역시 동구 초량동 1170 부산진역,N,4,3,1,0,0,0,5,1,0,도시철도 부산진역,051-678-6115,05:00~00:10,1905-06,,,지방자치단체,교통시설,수세식,Y,장애인화장실+여자화장실,Y,Y,여자화장실,,2019-12-30
88,개방화장실,도시철도 좌천역,"부산광역시 동구 중앙대로 지하 446, 도시철도 좌천역 (좌천동)",부산광역시 동구 좌천동 236,N,4,4,1,1,0,0,6,1,0,도시철도 좌천역,051-678-6116,:~:,1905-05,,,지방자치단체,교통시설,수세식,Y,장애인화장실+여자화장실,Y,Y,여자화장실,,2019-12-30
